variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
posttaskb_i1,"postTaskB, question 1","Throughout the task, how much attention did you pay to whether you were getting the ball in the hole?","s1_r1_e1, s1_r1_e2",Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 A moderate amount | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 A lot",NA,1,NA,direct-redcap
posttaskb_i2,"postTaskB, question 2",How frustrated did you feel after making an error?,"s1_r1_e1, s1_r1_e2",Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 A moderate amount | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 A lot",NA,1,NA,direct-redcap
posttaskb_i3,"postTaskB, question 3",How anxious did you feel after making an error?,"s1_r1_e1, s1_r1_e2",Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 A moderate amount | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 A lot",NA,1,NA,direct-redcap
posttaskb_i4,"postTaskB, question 4",How many errors do you believe you made? (type in numerical answer),"s1_r1_e1, s1_r1_e2",Integer,"[0,inf]",NA,NA,1,NA,direct-redcap
