variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pbsp_i1,"PBS (parent version), question 1",My child is considerate of other people's feelings.,s1_r1_e1,Integer,"0, 1, 2","0, Not True | 1, Somewhat True | 2, Certainly True",NA,1,NA,direct-redcap
pbsp_i2,"PBS (parent version), question 2","My child is helpful if someone is hurt, upset, or feeling ill.",s1_r1_e1,Integer,"0, 1, 2","0, Not True | 1, Somewhat True | 2, Certainly True",NA,1,NA,direct-redcap
pbsp_i3,"PBS (parent version), question 3","My child often offers to help others (parents, teachers, other children). ",s1_r1_e1,Integer,"0, 1, 2","0, Not True | 1, Somewhat True | 2, Certainly True",NA,1,NA,direct-redcap
pbsp_scrdTotal,PBS (parent version) total score,average of all pbsp items (NA if pbsp_percTotal < 0.8),s1_r1_e1,Real,"[0,2]",NA,NA,1,NA,code-instruments
pbsp_percTotal,PBS (parent version) percentage complete,percentage of response for all pbsp items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
